year,geolocation_lat,geolocation_lng,product_category_name,payment_value
2016.0,-23.85,-46.7,perfumaria,273.77
2016.0,-23.61,-46.51,informatica_acessorios,134.91
2016.0,-23.58,-46.69,moveis_decoracao,298.92
2016.0,-23.58,-46.69,pet_shop,127.86
2016.0,-23.58,-46.68,fraldas_higiene,150.99
2016.0,-23.58,-46.68,moveis_decoracao,86.87999999999998
2016.0,-23.58,-46.68,perfumaria,544.77
2016.0,-23.58,-46.67,brinquedos,326.4
2016.0,-23.58,-46.67,moveis_decoracao,55.62
2016.0,-23.58,-46.66,brinquedos,87.57
2016.0,-23.58,-46.62,beleza_saude,89.38
2016.0,-23.58,-46.62,brinquedos,134.8
2016.0,-23.58,-46.61,informatica_acessorios,42.77
2016.0,-23.58,-46.61,moveis_decoracao,212.32
2016.0,-23.57,-46.68,beleza_saude,252.24
2016.0,-23.57,-46.68,cama_mesa_banho,74.59
2016.0,-23.57,-46.68,cool_stuff,162.6
2016.0,-23.57,-46.68,perfumaria,313.72
2016.0,-23.57,-46.68,relogios_presentes,1423.55
2016.0,-23.57,-46.67,bebes,448.64
2016.0,-23.57,-46.67,perfumaria,263.93
2016.0,-23.57,-46.66,audio,147.08
2016.0,-23.57,-46.66,automotivo,24.52
2016.0,-23.57,-46.66,bebes,604.61
2016.0,-23.57,-46.66,beleza_saude,449.65
2016.0,-23.57,-46.66,brinquedos,1299.08
2016.0,-23.57,-46.66,cool_stuff,107.41
2016.0,-23.57,-46.66,ferramentas_jardim,611.56
2016.0,-23.57,-46.66,perfumaria,717.86
2016.0,-23.57,-46.66,utilidades_domesticas,48.55
2016.0,-23.57,-46.65,cool_stuff,237.97
2016.0,-23.57,-46.65,fashion_bolsas_e_acessorios,160.09
2016.0,-23.57,-46.65,fashion_roupa_masculina,35.86
2016.0,-23.57,-46.65,moveis_decoracao,192.56
2016.0,-23.57,-46.64,brinquedos,149.91
2016.0,-23.57,-46.64,climatizacao,319.0
2016.0,-23.57,-46.64,fashion_roupa_feminina,69.63
2016.0,-23.57,-46.64,ferramentas_jardim,419.06
2016.0,-23.57,-46.64,moveis_decoracao,877.7599999999999
2016.0,-23.57,-46.64,pet_shop,116.16
2016.0,-23.57,-46.63,beleza_saude,273.72
2016.0,-23.57,-46.63,consoles_games,65.11
2016.0,-23.57,-46.63,moveis_decoracao,34.42
2016.0,-23.57,-46.62,beleza_saude,72.51
2016.0,-23.57,-46.61,cama_mesa_banho,184.87
2016.0,-23.57,-46.61,moveis_decoracao,92.27
2016.0,-23.56,-46.67,esporte_lazer,447.49
2016.0,-23.56,-46.67,informatica_acessorios,33.519999999999996
2016.0,-23.56,-46.67,moveis_decoracao,111.51
2016.0,-23.56,-46.67,perfumaria,71.2
2016.0,-23.56,-46.66,audio,35.95
