year,geolocation_lat,geolocation_lng,product_category_name,payment_value
2016.0,-31.32,-54.06,brinquedos,154.1
2016.0,-30.09,-51.21,pet_shop,116.16
2016.0,-30.04,-52.9,esporte_lazer,61.64
2016.0,-30.04,-51.21,esporte_lazer,53.73
2016.0,-29.93,-51.17,industria_comercio_e_negocios,113.17
2016.0,-29.83,-50.52,consoles_games,982.41
2016.0,-29.75,-52.41,moveis_decoracao,62.33
2016.0,-29.68,-51.11,moveis_decoracao,69.35
2016.0,-29.63,-50.81,esporte_lazer,107.37
2016.0,-29.18,-51.19,cool_stuff,455.01
2016.0,-29.17,-51.18,moveis_decoracao,266.11
2016.0,-28.33,-49.07,moveis_decoracao,784.8
2016.0,-28.31,-54.26,industria_comercio_e_negocios,113.17
2016.0,-28.3,-54.26,esporte_lazer,55.6
2016.0,-28.27,-53.5,esporte_lazer,39.09
2016.0,-28.21,-53.49,informatica_acessorios,51.05
2016.0,-28.07,-52.01,brinquedos,152.12
2016.0,-27.87,-54.5,fashion_bolsas_e_acessorios,45.7
2016.0,-27.87,-54.49,bebes,50.86
2016.0,-27.85,-54.47,moveis_escritorio,115.22
2016.0,-27.58,-48.61,beleza_saude,98.83
2016.0,-27.56,-48.62,perfumaria,319.09
2016.0,-26.91,-51.41,telefonia_fixa,214.98
2016.0,-26.9,-49.0,beleza_saude,44.49
2016.0,-26.87,-52.4,climatizacao,2707.68
2016.0,-26.85,-52.27,beleza_saude,126.25
2016.0,-26.79,-49.36,beleza_saude,299.08
2016.0,-26.46,-48.6,moveis_decoracao,85.82
2016.0,-26.08,-53.73,moveis_decoracao,69.49
2016.0,-25.51,-49.31,beleza_saude,64.48
2016.0,-25.51,-49.19,beleza_saude,71.21000000000001
2016.0,-25.49,-49.28,beleza_saude,66.68
2016.0,-25.47,-49.29,fashion_bolsas_e_acessorios,163.8
2016.0,-25.47,-49.19,cama_mesa_banho,1220.76
2016.0,-25.47,-49.19,moveis_decoracao,1220.76
2016.0,-25.42,-49.26,fashion_bolsas_e_acessorios,19.62
2016.0,-25.41,-49.3,moveis_decoracao,87.29
2016.0,-25.18,-49.31,esporte_lazer,33.42
2016.0,-24.76,-48.51,moveis_decoracao,499.44
2016.0,-24.47,-49.03,bebes,448.64
2016.0,-24.03,-52.35,beleza_saude,45.49
2016.0,-24.02,-46.48,bebes,176.23
2016.0,-24.01,-46.45,fashion_bolsas_e_acessorios,60.86
2016.0,-23.97,-46.33,beleza_saude,41.93
2016.0,-23.95,-46.37,moveis_decoracao,85.58
2016.0,-23.93,-46.34,pet_shop,415.68
2016.0,-23.79,-46.72,consoles_games,44.23
2016.0,-23.78,-46.68,market_place,501.38
2016.0,-23.73,-46.56,bebes,42.42
2016.0,-23.7,-46.7,perfumaria,74.76
2016.0,-23.7,-46.39,perfumaria,297.35
2016.0,-23.69,-49.83,moveis_decoracao,317.9
2016.0,-23.69,-46.61,beleza_saude,65.46
2016.0,-23.68,-46.5,market_place,80.94
2016.0,-23.68,-46.49,cool_stuff,237.97
2016.0,-23.67,-52.62,beleza_saude,71.21
2016.0,-23.67,-46.6,audio,35.95
2016.0,-23.67,-46.56,utilidades_domesticas,117.86
2016.0,-23.67,-46.49,moveis_decoracao,87.51
2016.0,-23.63,-46.74,automotivo,60.95
2016.0,-23.63,-46.69,moveis_escritorio,150.46
2016.0,-23.62,-46.95,moveis_decoracao,40.95
2016.0,-23.62,-46.69,moveis_decoracao,51.8
2016.0,-23.6,-46.65,utilidades_domesticas,121.13
2016.0,-23.6,-46.62,relogios_presentes,45.46
2016.0,-23.6,-46.57,utilidades_domesticas,1090.17
2016.0,-23.6,-46.52,beleza_saude,192.55
2016.0,-23.59,-46.66,moveis_decoracao,31.92
2016.0,-23.59,-46.55,telefonia,38.62
2016.0,-23.59,-46.41,esporte_lazer,30.22
2016.0,-23.58,-46.74,brinquedos,613.78
2016.0,-23.57,-46.7,cama_mesa_banho,45.01
2016.0,-23.57,-46.51,brinquedos,87.57
2016.0,-23.57,-46.19,perfumaria,267.49
2016.0,-23.56,-46.71,perfumaria,47.42
2016.0,-23.56,-46.67,moveis_decoracao,218.04
2016.0,-23.55,-46.61,industria_comercio_e_negocios,414.44
2016.0,-23.55,-46.61,moveis_decoracao,840.16
2016.0,-23.55,-46.55,utilidades_domesticas,114.77
2016.0,-23.55,-46.22,esporte_lazer,61.16
2016.0,-23.54,-46.58,informatica_acessorios,82.69
2016.0,-23.53,-47.43,moveis_escritorio,115.22
2016.0,-23.53,-46.7,telefonia_fixa,286.55
2016.0,-23.53,-46.68,automotivo,18.62
2016.0,-23.53,-46.43,beleza_saude,51.93
2016.0,-23.53,-46.37,climatizacao,169.23
2016.0,-23.52,-46.8,brinquedos,96.23
2016.0,-23.51,-47.49,brinquedos,144.94
2016.0,-23.51,-46.71,bebes,92.97
2016.0,-23.51,-46.61,fashion_bolsas_e_acessorios,34.62
2016.0,-23.51,-46.55,beleza_saude,65.77
2016.0,-23.51,-46.37,moveis_decoracao,61.64
2016.0,-23.49,-46.65,moveis_decoracao,139.89
2016.0,-23.48,-46.85,moveis_decoracao,161.24
2016.0,-23.48,-46.56,perfumaria,74.83
2016.0,-23.46,-46.55,alimentos,96.23
